Item_Identifier;Item_Weight;Item_Fat_Content;Item_Visibility;Item_Type;Item_MRP;Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;Outlet_Location_Type;Outlet_Type;Item_Outlet_Sales
FDC46;11.6;Regular;0.241055611;Dairy;238.5222;OUT010;1998;;Tier 3;Grocery Store;717.0666
FDH19;;Low Fat;0.240268248;Snack Foods;156.463;OUT019;1985;Small;Tier 1;Grocery Store;312.926
FDZ03;18;Regular;0.238831875;Fruits and Vegetables;88.2514;OUT010;1998;;Tier 3;Grocery Store;88.5514
DRH37;7.6;Regular;0.238366442;Starchy Foods;171.8448;OUT010;1998;;Tier 3;Grocery Store;852.224
NCI17;;Low Fat;0.237651344;Fruits and Vegetables;170.2106;OUT019;1985;Small;Tier 1;Grocery Store;171.1106
FDJ58;;Low Fat;0.236616754;Snack Foods;217.6482;OUT019;1985;Small;Tier 1;Grocery Store;219.0482
FDL12;;Regular;0.23653561;Starchy Foods;184.1924;OUT019;1985;Small;Tier 1;Grocery Store;185.0924
FDH35;6.035;Low Fat;0.236433601;Snack Foods;155.5998;OUT010;1998;;Tier 3;Grocery Store;153.7998
FDG02;;Regular;0.235859408;Snack Foods;46.1402;OUT019;1985;Small;Tier 1;Grocery Store;45.9402
NCZ18;9.8;Regular;0.235354055;Baking Goods;50.8008;OUT010;1998;;Tier 3;Grocery Store;101.2016
FDC29;;Regular;0.235183205;Canned;41.548;OUT019;1985;Small;Tier 1;Grocery Store;79.896
FDQ10;5.365;Regular;0.234733477;Seafood;173.4764;OUT010;1998;;Tier 3;Grocery Store;171.7764
FDN48;16.85;Low Fat;0.233356571;Snack Foods;146.576;OUT010;1998;;Tier 3;Grocery Store;439.428
FDL04;8.71;Low Fat;0.233039817;Canned;49.5376;OUT010;1998;;Tier 3;Grocery Store;95.8752
FDV25;5.325;Regular;0.23212188;Dairy;55.5298;OUT010;1998;;Tier 3;Grocery Store;53.9298
FDD58;;Regular;0.232072674;Frozen Foods;229.4668;OUT019;1985;Small;Tier 1;Grocery Store;460.7336
FDN04;10.895;Low Fat;0.228993134;Dairy;263.4568;OUT010;1998;;Tier 3;Grocery Store;527.3136
FDV45;15.85;Low Fat;0.228469522;Canned;93.3094;OUT010;1998;;Tier 3;Grocery Store;285.6282
NCL18;14;Regular;0.227260689;Frozen Foods;54.364;OUT010;1998;;Tier 3;Grocery Store;159.792
FDR12;16.6;Low Fat;0.227189581;Hard Drinks;173.9422;OUT010;1998;;Tier 3;Grocery Store;172.4422
FDG20;;Low Fat;0.226284381;Fruits and Vegetables;163.221;OUT019;1985;Small;Tier 1;Grocery Store;326.242
FDZ55;17.7;Regular;0.226122963;Starchy Foods;185.7924;OUT010;1998;;Tier 3;Grocery Store;370.1848
FDQ49;7.63;Regular;0.225476528;Snack Foods;45.1402;OUT010;1998;;Tier 3;Grocery Store;45.9402
FDN33;;Low Fat;0.224837308;Fruits and Vegetables;112.7886;OUT019;1985;Small;Tier 1;Grocery Store;222.3772
FDN27;;Regular;0.224607399;Baking Goods;223.1404;OUT019;1985;Small;Tier 1;Grocery Store;450.0808
FDW20;;Regular;0.22417463;Snack Foods;168.8816;OUT019;1985;Small;Tier 1;Grocery Store;167.7816
DRG27;;Regular;0.223985293;Soft Drinks;186.2924;OUT019;1985;Small;Tier 1;Grocery Store;555.2772
DRI25;4.88;Regular;0.223440258;Baking Goods;52.2298;OUT010;1998;;Tier 3;Grocery Store;161.7894
FDA44;11.85;Low Fat;0.222063351;Dairy;99.6726;OUT010;1998;;Tier 3;Grocery Store;195.7452
NCR17;9.5;Regular;0.221856492;Frozen Foods;231.8668;OUT010;1998;;Tier 3;Grocery Store;230.3668
FDU04;;Low Fat;0.220225608;Fruits and Vegetables;85.6198;OUT019;1985;Small;Tier 1;Grocery Store;87.2198
FDF41;11.65;Low Fat;0.220111117;Baking Goods;153.0024;OUT010;1998;;Tier 3;Grocery Store;455.4072
FDB56;;Low Fat;0.21799414;Canned;266.5884;OUT019;1985;Small;Tier 1;Grocery Store;1324.942
NCP18;19;Low Fat;0.216478153;Household;190.1872;OUT010;1998;;Tier 3;Grocery Store;567.2616
FDB56;7.605;Low Fat;0.216323008;Fruits and Vegetables;165.021;OUT010;1998;;Tier 3;Grocery Store;815.605
FDT28;;Regular;0.216107535;Snack Foods;86.8514;OUT019;1985;Small;Tier 1;Grocery Store;354.2056
FDD10;13.5;Regular;0.21561193;Starchy Foods;98.6068;OUT010;1998;;Tier 3;Grocery Store;97.2068
FDW57;14.5;Regular;0.214681063;Baking Goods;102.7332;OUT010;1998;;Tier 3;Grocery Store;205.0664
DRB48;;Regular;0.214423791;Fruits and Vegetables;111.6544;OUT019;1985;Small;Tier 1;Grocery Store;335.5632
FDP09;8.1;Low Fat;0.214306131;Fruits and Vegetables;213.9902;OUT010;1998;;Tier 3;Grocery Store;424.7804
FDH14;;Regular;0.214139786;Fruits and Vegetables;102.4016;OUT019;1985;Small;Tier 1;Grocery Store;202.4032
FDA47;8.27;Regular;0.214125129;Soft Drinks;183.9924;OUT010;1998;;Tier 3;Grocery Store;185.0924
FDG12;6.3;Low Fat;0.21332355;Canned;208.527;OUT010;1998;;Tier 3;Grocery Store;419.454
DRE60;;LF;0.213125482;Snack Foods;44.9428;OUT019;1985;Small;Tier 1;Grocery Store;175.7712
DRK49;;Regular;0.212963193;Baking Goods;59.522;OUT019;1985;Small;Tier 1;Grocery Store;299.61
FDD03;;Low Fat;0.212293753;Canned;92.2778;OUT019;1985;Small;Tier 1;Grocery Store;469.389
FDS52;10.195;Low Fat;0.211539389;Canned;110.9886;OUT010;1998;;Tier 3;Grocery Store;111.1886
FDW39;17;Low Fat;0.211306673;Household;125.1362;OUT010;1998;;Tier 3;Grocery Store;251.6724
FDX34;;Low Fat;0.210596485;Others;144.747;OUT019;1985;Small;Tier 1;Grocery Store;143.147
FDV11;5.615;Low Fat;0.210511558;Health and Hygiene;121.373;OUT010;1998;;Tier 3;Grocery Store;123.173
FDD17;15.5;Regular;0.210375806;Fruits and Vegetables;178.2028;OUT010;1998;;Tier 3;Grocery Store;177.1028
FDZ16;;low fat;0.210021713;Dairy;44.2744;OUT019;1985;Small;Tier 1;Grocery Store;90.5488
FDZ46;17.25;Regular;0.209600084;Breakfast;40.348;OUT010;1998;;Tier 3;Grocery Store;39.948
DRA12;;Regular;0.209162936;Fruits and Vegetables;179.1976;OUT019;1985;Small;Tier 1;Grocery Store;543.2928
FDY58;;Low Fat;0.20914265;Meat;190.953;OUT019;1985;Small;Tier 1;Grocery Store;379.506
NCF19;;Low Fat;0.208987123;Baking Goods;106.0596;OUT019;1985;Small;Tier 1;Grocery Store;215.7192
DRJ13;;Regular;0.208662546;Dairy;231.83;OUT019;1985;Small;Tier 1;Grocery Store;466.06
FDB14;6.465;Low Fat;0.208397715;Canned;265.2884;OUT010;1998;;Tier 3;Grocery Store;264.9884
FDJ38;;Low Fat;0.208162156;Snack Foods;228.1694;OUT019;1985;Small;Tier 1;Grocery Store;228.3694
FDW11;;Low Fat;0.207783483;Household;262.291;OUT019;1985;Small;Tier 1;Grocery Store;525.982
FDL40;7.435;Low Fat;0.205605116;Starchy Foods;207.7638;OUT010;1998;;Tier 3;Grocery Store;621.1914
DRI49;;Regular;0.205484395;Baking Goods;198.011;OUT019;1985;Small;Tier 1;Grocery Store;392.822
FDV38;4.61;Low Fat;0.205294827;Hard Drinks;172.8396;OUT010;1998;;Tier 3;Grocery Store;174.4396
DRG23;15.7;Regular;0.204984538;Fruits and Vegetables;111.0544;OUT010;1998;;Tier 3;Grocery Store;223.7088
NCP30;9.195;Regular;0.204713036;Fruits and Vegetables;101.0016;OUT010;1998;;Tier 3;Grocery Store;202.4032
FDY25;;Low Fat;0.2047;Frozen Foods;76.867;OUT019;1985;Small;Tier 1;Grocery Store;229.701
NCH54;6.715;Regular;0.203510667;Baking Goods;41.0454;OUT010;1998;;Tier 3;Grocery Store;251.6724
NCR53;8.39;Low Fat;0.20168772;Household;162.8868;OUT010;1998;;Tier 3;Grocery Store;327.5736
FDS52;;Regular;0.2004264;Baking Goods;88.8514;OUT019;1985;Small;Tier 1;Grocery Store;265.6542
FDG02;16.7;reg;0.199955274;Fruits and Vegetables;182.3976;OUT010;1998;;Tier 3;Grocery Store;724.3904
NCO26;8.155;Low Fat;0.199935881;Meat;188.453;OUT010;1998;;Tier 3;Grocery Store;379.506
FDH35;15;Low Fat;0.19899855;Snack Foods;226.5694;OUT010;1998;;Tier 3;Grocery Store;913.4776
FDB51;;Low Fat;0.19875618;Household;250.7724;OUT019;1985;Small;Tier 1;Grocery Store;251.6724
FDX44;;Low Fat;0.198424841;Soft Drinks;185.2924;OUT019;1985;Small;Tier 1;Grocery Store;370.1848
NCN07;;Low Fat;0.198316649;Baking Goods;54.3956;OUT019;1985;Small;Tier 1;Grocery Store;272.978
NCC31;18.6;Low Fat;0.19780911;Others;55.6588;OUT010;1998;;Tier 3;Grocery Store;114.5176
NCX54;;Low Fat;0.196659953;Household;125.8046;OUT019;1985;Small;Tier 1;Grocery Store;249.0092
NCO55;;Low Fat;0.196490902;Canned;120.544;OUT019;1985;Small;Tier 1;Grocery Store;479.376
NCC30;20.2;Regular;0.196438668;Baking Goods;194.611;OUT010;1998;;Tier 3;Grocery Store;392.822
FDI16;10.3;Low Fat;0.195721125;Health and Hygiene;156.463;OUT010;1998;;Tier 3;Grocery Store;312.926
FDP16;15.6;Low Fat;0.195688803;Frozen Foods;77.367;OUT010;1998;;Tier 3;Grocery Store;153.134
FDB11;17.7;LF;0.195068226;Snack Foods;185.4266;OUT010;1998;;Tier 3;Grocery Store;184.4266
NCB06;;Low Fat;0.194874778;Others;110.2912;OUT019;1985;Small;Tier 1;Grocery Store;218.3824
FDA45;;Low Fat;0.193772568;Fruits and Vegetables;190.3846;OUT019;1985;Small;Tier 1;Grocery Store;573.2538
NCO26;16;Regular;0.193477995;Fruits and Vegetables;55.9246;OUT010;1998;;Tier 3;Grocery Store;405.4722
DRJ25;;reg;0.192650072;Frozen Foods;37.4506;OUT019;1985;Small;Tier 1;Grocery Store;37.9506
FDR28;6.135;Low Fat;0.192540665;Soft Drinks;160.2236;OUT010;1998;;Tier 3;Grocery Store;322.2472
FDI04;;Low Fat;0.19244045;Dairy;43.9428;OUT019;1985;Small;Tier 1;Grocery Store;131.8284
DRK12;5.425;Regular;0.191603334;Baking Goods;87.0514;OUT010;1998;;Tier 3;Grocery Store;88.5514
FDX20;;Regular;0.191500528;Baking Goods;121.2098;OUT019;1985;Small;Tier 1;Grocery Store;120.5098
NCI18;;Regular;0.191013663;Soft Drinks;42.1112;OUT019;1985;Small;Tier 1;Grocery Store;42.6112
FDB36;20.7;Regular;0.191008614;Dairy;92.8436;OUT010;1998;;Tier 3;Grocery Store;189.0872
FDN13;9.695;Low Fat;0.190711254;Health and Hygiene;159.1604;OUT010;1998;;Tier 3;Grocery Store;633.8416
DRD24;12.8;Regular;0.190569038;Breads;138.7838;OUT010;1998;;Tier 3;Grocery Store;280.9676
FDQ28;;Low Fat;0.19033746;Snack Foods;159.4578;OUT019;1985;Small;Tier 1;Grocery Store;160.4578
FDM22;11.8;Low Fat;0.189689886;Soft Drinks;184.3924;OUT010;1998;;Tier 3;Grocery Store;370.1848
FDR07;8.355;Low Fat;0.188619537;Canned;146.4418;OUT017;2007;;Tier 2;Supermarket Type1;3089.9778
FDV25;8.355;Low Fat;0.188322664;Canned;148.5418;OUT018;2009;Medium;Tier 3;Supermarket Type2;2207.127
DRF49;;Low Fat;0.188038372;Snack Foods;146.4076;OUT019;1985;Small;Tier 1;Grocery Store;147.8076
FDW51;8.355;Low Fat;0.187939003;Canned;146.9418;OUT045;2002;;Tier 2;Supermarket Type1;1029.9926
DRL01;8.42;Low Fat;0.187918654;Health and Hygiene;65.4168;OUT010;1998;;Tier 3;Grocery Store;127.8336
FDP25;8.355;Low Fat;0.187850233;Canned;146.5418;OUT049;1999;Medium;Tier 1;Supermarket Type1;2501.4106
FDL50;12.5;Low Fat;0.187841082;Canned;119.244;OUT010;1998;;Tier 3;Grocery Store;119.844
NCB30;10.195;Low Fat;0.187841082;Hard Drinks;112.486;OUT010;1998;;Tier 3;Grocery Store;113.186
FDW11;8.355;Low Fat;0.187558629;Canned;148.0418;OUT046;1997;Small;Tier 1;Supermarket Type1;1471.418
NCM43;8.355;Low Fat;0.187523164;Canned;146.2418;OUT035;2004;Small;Tier 2;Supermarket Type1;4414.254
FDK44;;Regular;0.187443314;Dairy;220.4772;OUT019;1985;Small;Tier 1;Grocery Store;444.7544
FDM15;;Regular;0.187443314;Fruits and Vegetables;145.8786;OUT019;1985;Small;Tier 1;Grocery Store;288.9572
FDS31;7.825;Low Fat;0.186825823;Household;253.5698;OUT018;2009;Medium;Tier 3;Supermarket Type2;3805.047
FDI32;12.35;Regular;0.186616421;Baking Goods;78.6328;OUT018;2009;Medium;Tier 3;Supermarket Type2;1004.0264
FDR47;8.02;Low Fat;0.186528819;Snack Foods;151.9998;OUT010;1998;;Tier 3;Grocery Store;307.5996
FDB35;7.825;low fat;0.186445212;Household;255.5698;OUT045;2002;;Tier 2;Supermarket Type1;1522.0188
NCU05;7.825;low fat;0.186357148;Household;254.3698;OUT049;1999;Medium;Tier 1;Supermarket Type1;5580.7356
DRY23;12.3;Low Fat;0.186250852;Baking Goods;37.2874;OUT010;1998;;Tier 3;Grocery Store;176.437
FDO24;12.35;Regular;0.186236236;Baking Goods;78.7328;OUT045;2002;;Tier 2;Supermarket Type1;1390.1904
FDQ28;12.35;reg;0.18614827;Baking Goods;78.2328;OUT049;1999;Medium;Tier 1;Supermarket Type1;1158.492
FDV39;7.825;Low Fat;0.186067862;Household;255.4698;OUT046;1997;Small;Tier 1;Supermarket Type1;5073.396
NCO17;7.825;Low Fat;0.186032678;Household;253.0698;OUT035;2004;Small;Tier 2;Supermarket Type1;6088.0752
FDU50;7.67;Low Fat;0.185889129;Household;35.4216;OUT017;2007;;Tier 2;Supermarket Type1;173.108
FDT12;12.35;Regular;0.185824165;Baking Goods;78.5328;OUT035;2004;Small;Tier 2;Supermarket Type1;695.0952
FDK58;12.35;Regular;0.185704641;Baking Goods;77.1328;OUT013;1987;High;Tier 3;Supermarket Type1;2239.7512
FDO08;7.67;Low Fat;0.185596553;Household;35.7216;OUT018;2009;Medium;Tier 3;Supermarket Type2;69.2432
NCW29;;Low Fat;0.185306514;Breads;125.6046;OUT019;1985;Small;Tier 1;Grocery Store;622.523
FDE04;7.67;Low Fat;0.185218446;Household;36.3216;OUT045;2002;;Tier 2;Supermarket Type1;415.4592
NCB19;13.65;Regular;0.18520944;Canned;212.9902;OUT017;2007;;Tier 2;Supermarket Type1;3185.853
FDV15;7.67;Low Fat;0.185130961;Household;32.9216;OUT049;1999;Medium;Tier 1;Supermarket Type1;588.5672
FDL58;;Regular;0.185008985;Fruits and Vegetables;42.3796;OUT019;1985;Small;Tier 1;Grocery Store;123.8388
FDA08;7.67;Low Fat;0.184843579;Household;33.1216;OUT046;1997;Small;Tier 1;Supermarket Type1;727.0536
FDT43;7.67;Low Fat;0.184689756;Household;35.4216;OUT013;1987;High;Tier 3;Supermarket Type1;450.0808
NCX06;13.65;Regular;0.18454121;Canned;211.5902;OUT045;2002;;Tier 2;Supermarket Type1;4672.5844
FDT20;13.65;Regular;0.184454044;Canned;211.4902;OUT049;1999;Medium;Tier 1;Supermarket Type1;4035.4138
FDB41;8.985;Low Fat;0.184440421;Fruits and Vegetables;99.67;OUT017;2007;;Tier 2;Supermarket Type1;3295.71
NCN55;;Regular;0.184359831;Snack Foods;172.6764;OUT019;1985;Small;Tier 1;Grocery Store;858.882
FDE40;14.15;Low Fat;0.184254826;Soft Drinks;82.4276;OUT018;2009;Medium;Tier 3;Supermarket Type2;1218.414
FDX49;13.65;Regular;0.184167712;Canned;213.7902;OUT046;1997;Small;Tier 1;Supermarket Type1;1274.3412
NCM53;18.25;Regular;0.184041545;Dairy;110.157;OUT018;2009;Medium;Tier 3;Supermarket Type2;1867.569
FDE36;;Low Fat;0.184035253;Dairy;42.2138;OUT019;1985;Small;Tier 1;Grocery Store;40.6138
FDN57;;Low Fat;0.183948465;Household;33.6216;OUT027;1985;Medium;Tier 3;Supermarket Type3;934.7832
FDI24;14.15;Low Fat;0.183879453;Soft Drinks;82.9276;OUT045;2002;;Tier 2;Supermarket Type1;1705.7796
FDI19;8.985;Low Fat;0.183774965;Fruits and Vegetables;101.77;OUT045;2002;;Tier 2;Supermarket Type1;798.96
FDF24;8.985;LF;0.183688161;Fruits and Vegetables;100.27;OUT049;1999;Medium;Tier 1;Supermarket Type1;998.7
FDG52;19.2;Low Fat;0.183686937;Others;241.8196;OUT017;2007;;Tier 2;Supermarket Type1;1687.1372
DRF36;;Low Fat;0.18358896;Snack Foods;154.663;OUT019;1985;Small;Tier 1;Grocery Store;312.926
FDS45;18.25;Regular;0.183579854;Dairy;110.857;OUT049;1999;Medium;Tier 1;Supermarket Type1;1977.426
FDX40;14.15;Low Fat;0.183507295;Soft Drinks;82.4276;OUT046;1997;Small;Tier 1;Supermarket Type1;1137.1864
DRK12;14.15;Low Fat;0.183472595;Soft Drinks;82.0276;OUT035;2004;Small;Tier 2;Supermarket Type1;1624.552
DRC27;18.25;Regular;0.18329488;Dairy;111.657;OUT046;1997;Small;Tier 1;Supermarket Type1;1537.998
FDL58;18.25;Regular;0.183260221;Dairy;108.557;OUT035;2004;Small;Tier 2;Supermarket Type1;1208.427
NCD30;18.25;Regular;0.183142346;Dairy;110.357;OUT013;1987;High;Tier 3;Supermarket Type1;2087.283
NCZ54;19.2;Low Fat;0.18293775;Others;243.0196;OUT049;1999;Medium;Tier 1;Supermarket Type1;3615.294
FDE10;19.2;Low Fat;0.182653772;Others;243.0196;OUT046;1997;Small;Tier 1;Supermarket Type1;3374.2744
FDR44;;Low Fat;0.182514881;Fruits and Vegetables;98.77;OUT027;1985;Medium;Tier 3;Supermarket Type3;2696.49
FDP28;19.2;Low Fat;0.182501773;Others;239.2196;OUT013;1987;High;Tier 3;Supermarket Type1;5061.4116
FDX15;;Low Fat;0.182493512;Health and Hygiene;258.8278;OUT019;1985;Small;Tier 1;Grocery Store;1041.3112
FDA39;;Regular;0.182407266;Dairy;109.157;OUT027;1985;Medium;Tier 3;Supermarket Type3;1867.569
FDY24;;Regular;0.182236555;Canned;107.1622;OUT019;1985;Small;Tier 1;Grocery Store;211.7244
FDC60;;Regular;0.182128363;Baking Goods;165.65;OUT019;1985;Small;Tier 1;Grocery Store;665.8
FDH28;20.75;Low Fat;0.181958524;Snack Foods;161.0578;OUT010;1998;;Tier 3;Grocery Store;481.3734
FDT25;;LF;0.181769264;Others;240.6196;OUT027;1985;Medium;Tier 3;Supermarket Type3;4579.3724
DRJ13;;Low Fat;0.181114059;Snack Foods;141.647;OUT019;1985;Small;Tier 1;Grocery Store;429.441
NCO07;19.25;Low Fat;0.180820798;Household;35.9558;OUT010;1998;;Tier 3;Grocery Store;67.9116
FDW20;9.195;Low Fat;0.180588082;Snack Foods;182.2634;OUT010;1998;;Tier 3;Grocery Store;363.5268
DRF27;15.85;Low Fat;0.180096791;Soft Drinks;57.3904;OUT010;1998;;Tier 3;Grocery Store;117.1808
FDS49;6.175;Regular;0.179806961;Meat;95.2752;OUT018;2009;Medium;Tier 3;Supermarket Type2;1534.0032
FDX25;;Low Fat;0.179484411;Dairy;228.9352;OUT019;1985;Small;Tier 1;Grocery Store;916.1408
NCX42;6.175;Regular;0.179355893;Meat;94.1752;OUT049;1999;Medium;Tier 1;Supermarket Type1;575.2512
FDG33;11.8;Regular;0.179191782;Dairy;224.2772;OUT010;1998;;Tier 3;Grocery Store;667.1316
FDL56;6.175;Regular;0.179077475;Meat;94.3752;OUT046;1997;Small;Tier 1;Supermarket Type1;1342.2528
FDF14;18.1;LF;0.178975721;Dairy;155.5288;OUT017;2007;;Tier 2;Supermarket Type1;1571.288
NCD06;;Low Fat;0.178923163;Fruits and Vegetables;55.7298;OUT019;1985;Small;Tier 1;Grocery Store;161.7894
